Company Name,Job Title,Source,Application Status,Applied on,Job Link,Note
Rolls Royce,Abschlussarbeit „Data Analysis & AI im Bereich Global Product Support“,website,Rejected,14 Mar,,
Rolls Royce,Werkstudent (m/w/d) IT-Service Management,website,Rejected,14 Mar,,
BMW,Praktikant digitalisierung nichtserienmaterial und logistics,website,Rejected,14 Mar,,
WBS-It,Training and It specialist for data management,google,Rejected,14Mar,,
Sap,Working Student (f/m/d) - Transformation Management Office (TMO) in Software Asset Management (SAM) (447052),website,Rejected,14Mar,,
Sap,Working Student (f/m/d) - AI Data Engineer (448999),website,Rejected,14Mar,,
infineon,Working Student - Software Development (f/m/div),email,Rejected,14Mar,,
Danfoss,Pflichtpraktikant IT Programmierung (m/w/d) (47462),website,Rejected,16Mar,,
Puma,Working Student Business Intelligence EBP,website,Rejected,16Mar,,
Aptiv,Working Student: Vehicle Operator & Data Analytics – Autonomous Driving (f/m/d),website,Rejected,16Mar,,
Crossing Hurdles,Machine Learning Engineer | $80/hr Remote,linkedin,Rejected,3/16/2026,,
briink,AI Data & Engineering Intern @Briink (AI & ESG),website,Rejected,3/16/2026,,
Ottobock SE & Co. KGaA,Working Student Data & Analytics Assistant (m/f/d),website,Rejected,3/16/2026,,
B/S/H,Internship Data Analytics Projects in Global Sales (m/f/d),website,Rejected,3/16/2026,,
"
teamative",Data Migration Specialist,website,Rejected,17Mar,,
Kite IT,Backend developer,linkeidn,Rejected,17Mar,,
Experteer GmbH,Working Student Web Crawling & Data Automation Engineer (m/f/d),linkedin,Rejected,17 Mar,,
1&1 Versatel GmbH,Working student Data Science & AI (m/f/d),website,Rejected,17 Mar,,c2 german
Deutsche borse grp,Working Student - AI Governance (f/m/d) (26342),website,Rejected,18Mar,,
Dassault Systèmes,Working Student (m/f/d) – AI-Powered Research on Electromagnetic Simulation,,Rejected,,,
Valantic,Intern / Working Student (all genders) – AI Engineering & Cloud Prototyping,,Rejected,,,
BNP Paribas,Praktikum im Bereich AI (all genders) bei Personal Investors,,Rejected,18Mar,,
Isar Aerospace SE ,"Working Student, Computer Science (m/f/d)",,Rejected,19Mar,,
CyberForum,Working students in the field of Data Science (m/f/d),,Rejected,23Mar,,
gini,Machine Learning Working Student/Internship (m/f/d),,Rejected,23 Mar,,
ntt data,Working student - Artificial Intelligence & Strategic Alignment in Managed Services (12667),,Rejected,23 Mar,,
vng,Working student (m/f/d) Low Code & AI Services in Microsoft Power Platform,,Rejected,23 Mar,,
Rohde & Schwarz,Masterthesis AI Development (m/f/d),,Rejected,24 Mar,,
Roland Berger,GenAi Consulting intern,,Rejected,24Mar,,
"
Huawei Research Center Germany",Intern - Web & AI,,Rejected,24Mar,contact hr,server issue
Porsche Ag,Pratuikkum Ds,,Rejected,25 Mar,,
Redcare Pharmacy,Working Student Data & AI Governance (m/f/d),,Rejected,,,
Delivery Hero,"Analyst, AI Operations - Agentic AI",,Rejected,25 Mar,,
EY germay,EY-Parthenon Intern Data Analyst - Strategy and Transactions (f/m/d) (1691713),,Rejected,25 Mar,,
Code Campuss,AI Software Engineer (m/f/d) - Hamburg,,Rejected,26 Mar,,
Steadforce,Praktikant Content Creator – Tech & AI (m/w/d),,Rejected,26 Mar,,
Blue Elephant Energy AG,Analytics Developer Intern (all genders),,Rejected,26 Mar,,
Crossing Hurdles,Landscape & GIS Data Analyst | Remote,,Rejected,27Mar,,
Siemens,Mandatory Internship Generative AI,,Rejected,27 Mar,,
Jovoco,werkstudent data engineering and analytics,,Rejected,28 Mar,,
pva tepla,unsolicitated,,Rejected,30 Mar,,
gadgets watch,Data Scientist,,Rejected,30 Mar,,
statista,Working Student Researched Data Finance & Health,,Rejected,30 Mar,,
iFAKT,Working Student AI/KI-Automation (m/w/d),,Rejected,30 Mar,,
watch learn apply,Junior Data Analyst,,Rejected,2 Apr,,
Happy Language Club,Data Scientist,,Rejected,2 Apr,,
Highbrow Technology Inc,Data Annotator,,Rejected,2 Apr,,
EY-Parthenon, Intern Data Engineer - Strategy and Transactions (f/m/d),,Rejected,2 Apr,,
DeepImmo GmbH logo,Working Student Data (m/f/d),,Rejected,2 Apr,,
doubleSlash Net-Business GmbH,Internship - Data Analysis and Visualization (m/f/d),,Rejected,2 Apr,,
Drager,Praktikum in der Forschung und Entwicklung – Entwicklung klinischer Cloudapplikationen Job opening: Praktikum in der Forschung und Entwicklung – Entwicklung klinischer Cloudapplikationen(opens in a new window),,Rejected,2 Apr,,
Rheinmetall Electronics GmbH,Intern / Data Analyst Business Development / Intelligence (m/f/d),,Rejected,2 Apr,,
Schwarz Digits KG,intern GenAi,,Rejected,2 Apr,,
management school LLC,Data Scientist,,Rejected,3 Apr,,
PAYBACK GROUP,Working Student Data Privacy & Contract Management (m/f/d),,Rejected,3 Apr,,
RÖDL,Working Student Intelligent Automation & AI Solutions (m/f/d),,Rejected,3 Apr,,
Spherea gmbh,Bachelor’s or Master’s Thesis in Data Analytics / Business Intelligence,,Rejected,6 Apr,,
Bybit Grop,Junior Analyst,,Rejected,6 Apr,,
Circle Health,Junior Data Analyst ,,Rejected,6 Apr,,
"IOTIS GmbH

",Data Scientist (m/f/d),,Rejected,6 Apr,,
atrain,Working Student – Business & Data Analyst,website,Rejected,6 Apr,,
HUK-COBURG,Werkstudent Python & KI (LLMs / Machine Learning) (w/m/d),linkedin,Rejected,6 Apr,,
sense electra,Student trainee in data management (m/f/d),xing,Rejected,6Apr,,
Aumovio,Internship - AI & Analytics - REF7449M,website,Rejected,7 Apr,,
happyhotel,Data Analyst,website,Rejected,9 Apr,,
Faurecia,Intern Data Analytics & Digital Reporting,website,Rejected,9 Apr,,
Laufthansa technik,"Internship Digital Transformation & Data Analytics Internship start: July 2026, duration: 6 months",website,Rejected,9 Apr,,
cinemmo gmbh,GenAi Consulting intern,website,Rejected,9Apr,,
ZweiDigital gmbh,werkstudent data analyst,website,Rejected,10 Apr,,
RIWO Link Karriere,Werkstudent Ki,webs,Rejected,22 Apr,,
Booking.com,Data analytics,webs,Rejected,28 Apr,,
Werkia,Praktikum Business Development (m/w/d) - Datenanalyse & Automatisierung,xing,Rejected,28 Apr,,
Pflegia,Praktikum Business Development (m/w/d) - Datenanalyse & Automatisierung,xing,Rejected,28 Apr,,
Ottobock SE & Co. KGaA,Werkstudent Data & Analytics Assistenz (d/w/m) (8253),xing,Rejected,2 May,,
carbmee,Werkstudent/intern DA,website,Rejected,18 May,,
Porsche Ag,Praktikum Data Science & Artificial Intelligence ,website,Rejected,18 May,,
holidu,intern Data science,web,Rejected,19 May,,
Jobriver HR Service,werkstudent data engineering and analytics,jobriver,Rejected,19 May,,
logatik gmbh,Praktikum Forward Deployed AI Engineer (m/w/d),,Rejected,20 May,,
bmw,Intern Predictive Maintenance & Data Analytics (f/m/x),web,Rejected,20May,,
bmw,Master's student: AI-supported modularization of an analysis software (m/f/d),web,Rejected,20 May,,
zeiss,Praktikant/in im Bereich digitale Knowledge Plattform des globalen Service Teams der ZEISS IQS (m/w/x),web,Rejected,20 May,,
Crown Gabelstapler GmbH & Co. KG - Deutschland,Werkstudententätigkeit (m/w/d) Data Services,web,Rejected,25 May,,
citti,Working student (m/f/d) AI Engineer,web,Rejected,25 May,,
VisualVest,werkStudent Ai engineer,linkedIn,Rejected,25 May,,
Attikon Advenius GmbH,Working student (m/f/d) Digitalization & AI,indeed,Rejected,25 May,,
Ulisse Orlandini Naturstein GmbH,Working student (m/f/d),indeed,Rejected,25 May,,
